RNE;ECOLE;Adresse;Code postal;commune;Telephone;Mail;circonscription
0940176F;Ecole élémentaire Robert Doisneau;Allée du Puits;94260;Fresnes;0172045505;ce.0940176F@ac-creteil.fr;Circonscription  de Fresnes
0940198E;Ecole élémentaire Henri Wallon A;99 rue Louise Aglaé Cretté;94400;Vitry-sur-Seine;0611565947;ce.0940198E@ac-creteil.fr;Circonscription  de Vitry-sur-Seine 1
0940204L;Ecole élémentaire Jules Ferry;218 rue Jean Jaurès;94700;Maisons-Alfort;0143535120;ce.0940204L@ac-creteil.fr;Circonscription  de Maisons-Alfort
0940209S;Ecole élémentaire Jardin Parisien A;26 rue Jules Ferry;94240;L'Haÿ-les-Roses;0146862617;ce.0940209S@ac-creteil.fr;Circonscription  de Cachan
0940213W;Ecole élémentaire Sud;8 rue Docteur Lebel;94300;Vincennes;0143281842;ce.0940213W@ac-creteil.fr;Circonscription  de Vincennes
0940235V;Ecole élémentaire Romain Rolland A;2 rue Paul Bert;94500;Champigny-sur-Marne;0153881122;ce.0940235V@ac-creteil.fr;Circonscription  de Champigny-sur-Marne 2
0940238Y;Ecole élémentaire Parmentier A;8 rue Paul Vaillant-Couturier;94700;Maisons-Alfort;0145184430;ce.0940238Y@ac-creteil.fr;Circonscription  de Maisons-Alfort
0940249K;Ecole élémentaire Joliot-Curie A;1 rue Truillot;94200;Ivry-sur-Seine;0172046679;ce.0940249K@ac-creteil.fr;Circonscription  d'Ivry-sur-Seine
0940260X;Ecole élémentaire Victor Hugo;28 rue Jules Guesde;94140;Alfortville;0178682292;ce.0940260X@ac-creteil.fr;Circonscription  d'Alfortville
0940262Z;Ecole élémentaire Bled;89 avenue Carnot;94100;Saint-Maur-des-Fossés;0142838820;ce.0940262Z@ac-creteil.fr;Circonscription  de Saint-Maur-des-Fossés
0940289D;Ecole élémentaire Jean Monet;75 avenue de la Paix;94260;Fresnes;0178682510;ce.0940289D@ac-creteil.fr;Circonscription  de Fresnes
